qe,bundle,explainTarget,obs,metricName,metricValue,evidenceItem
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_relative_q1,window return,4.8,https://w3id.org/ontokg-eq/demo#disclosure_market_snapshot_relative_q1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_relative_q1,window return,4.8,https://w3id.org/ontokg-eq/demo#announcement_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_relative_q1,window return,4.8,https://w3id.org/ontokg-eq/demo#disclosure_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_sector_banking_relative_q1,sector return,2.1,https://w3id.org/ontokg-eq/demo#disclosure_market_snapshot_relative_q1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_sector_banking_relative_q1,sector return,2.1,https://w3id.org/ontokg-eq/demo#announcement_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_sector_banking_relative_q1,sector return,2.1,https://w3id.org/ontokg-eq/demo#disclosure_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_kse100_relative_q1,benchmark return,1.5,https://w3id.org/ontokg-eq/demo#disclosure_market_snapshot_relative_q1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_kse100_relative_q1,benchmark return,1.5,https://w3id.org/ontokg-eq/demo#announcement_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_kse100_relative_q1,benchmark return,1.5,https://w3id.org/ontokg-eq/demo#disclosure_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_event_return,abnormal return,5.4,https://w3id.org/ontokg-eq/demo#disclosure_market_snapshot_relative_q1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_event_return,abnormal return,5.4,https://w3id.org/ontokg-eq/demo#announcement_company_A_1
https://w3id.org/ontokg-eq/demo#query_exec_cq5_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq5_1,https://w3id.org/ontokg-eq/demo#company_A,https://w3id.org/ontokg-eq/demo#market_obs_company_A_event_return,abnormal return,5.4,https://w3id.org/ontokg-eq/demo#disclosure_company_A_1
