model_A,model_B,p_exact_two_sided
Qwen2.5-0.5B,Qwen2.5-1.5B,0.5
Qwen2.5-0.5B,Qwen2.5-3B,9.095e-13
Qwen2.5-0.5B,Qwen2.5-7B,5.96e-08
Qwen2.5-0.5B,SmolLM2-1.7B,1.907e-06
Qwen2.5-0.5B,Phi-3.5-mini,9.095e-13
Qwen2.5-0.5B,Mistral-7B,9.095e-13
Qwen2.5-0.5B,TinyLlama-1.1B,1.49e-08
Qwen2.5-1.5B,Qwen2.5-3B,3.638e-12
Qwen2.5-1.5B,Qwen2.5-7B,2.384e-07
Qwen2.5-1.5B,SmolLM2-1.7B,4.005e-05
Qwen2.5-1.5B,Phi-3.5-mini,3.638e-12
Qwen2.5-1.5B,Mistral-7B,3.638e-12
Qwen2.5-1.5B,TinyLlama-1.1B,4.172e-07
Qwen2.5-3B,Qwen2.5-7B,3.052e-05
Qwen2.5-3B,SmolLM2-1.7B,9.537e-07
Qwen2.5-3B,Phi-3.5-mini,1
Qwen2.5-3B,Mistral-7B,1
Qwen2.5-3B,TinyLlama-1.1B,0.0001221
Qwen2.5-7B,SmolLM2-1.7B,0.3833
Qwen2.5-7B,Phi-3.5-mini,3.052e-05
Qwen2.5-7B,Mistral-7B,3.052e-05
Qwen2.5-7B,TinyLlama-1.1B,0.8145
SmolLM2-1.7B,Phi-3.5-mini,9.537e-07
SmolLM2-1.7B,Mistral-7B,9.537e-07
SmolLM2-1.7B,TinyLlama-1.1B,0.1892
Phi-3.5-mini,Mistral-7B,1
Phi-3.5-mini,TinyLlama-1.1B,0.0001221
Mistral-7B,TinyLlama-1.1B,0.0001221
