company,yoy_profit_growth_pct,company_return,benchmark_return
company_IDX_CO_TPIA,1688.82,-80.5,-19.38
company_IDX_CO_EMTK,361.76,-46.51,-19.38
company_IDX_CO_BUKA,303.14,-33.46,-19.38
company_IDX_CO_ARTO,114.94,-37.18,-19.38
company_IDX_CO_BRMS,104.9,-23.92,-19.38
company_IDX_CO_CPIN,52.01,-23.47,-19.38
company_IDX_CO_NCKL,40.32,-30.02,-19.38
company_IDX_CO_JPFA,32.63,-19.53,-19.38
company_IDX_CO_SCMA,29.61,-24.03,-19.38
company_IDX_CO_CTRA,25.25,-20.92,-19.38
company_IDX_CO_MIKA,19.06,-20.82,-19.38
company_IDX_CO_KLBF,13.1,-21.31,-19.38
company_IDX_CO_PWON,13.08,-30.93,-19.38
company_IDX_CO_INTP,11.99,-23.18,-19.38
company_IDX_CO_TOWR,10.28,-28.56,-19.38
company_IDX_CO_SIDO,4.97,-29.47,-19.38
company_IDX_CO_ELSA,0.66,-27.55,-19.38
