company,fxVsCompanyCorr,fxVsBenchmarkCorr,fxWindowChange
company_IDX_CO_MEDC,0.216981,-0.107384,6.450306
company_IDX_CO_TBIG,0.206242,-0.107384,6.450306
company_IDX_CO_BRPT,0.151627,-0.107384,6.450306
company_IDX_CO_TPIA,0.134084,-0.107384,6.450306
company_IDX_CO_JPFA,0.125862,-0.107384,6.450306
company_IDX_CO_ELSA,0.111449,-0.107384,6.450306
company_IDX_CO_ESSA,0.111062,-0.107384,6.450306
company_IDX_CO_PTBA,0.099535,-0.107384,6.450306
company_IDX_CO_PGAS,0.073399,-0.107384,6.450306
company_IDX_CO_AKRA,0.071451,-0.107384,6.450306
company_IDX_CO_AMRT,0.068812,-0.107384,6.450306
company_IDX_CO_BRIS,0.06797,-0.107384,6.450306
company_IDX_CO_JSMR,0.046222,-0.107384,6.450306
company_IDX_CO_ANTM,0.044743,-0.107384,6.450306
company_IDX_CO_ADRO,0.026296,-0.107384,6.450306
company_IDX_CO_UNTR,0.023186,-0.107384,6.450306
company_IDX_CO_ARTO,0.017192,-0.107384,6.450306
company_IDX_CO_ITMG,0.013019,-0.107384,6.450306
company_IDX_CO_MDKA,0.009404,-0.107384,6.450306
company_IDX_CO_EMTK,0.002847,-0.107384,6.450306
company_IDX_CO_TINS,-0.007555,-0.107384,6.450306
company_IDX_CO_INCO,-0.017463,-0.107384,6.450306
company_IDX_CO_ASII,-0.029987,-0.107384,6.450306
company_IDX_CO_SCMA,-0.032967,-0.107384,6.450306
company_IDX_CO_BTPS,-0.037057,-0.107384,6.450306
company_IDX_CO_BRMS,-0.038738,-0.107384,6.450306
company_IDX_CO_MTEL,-0.042746,-0.107384,6.450306
company_IDX_CO_BUKA,-0.045854,-0.107384,6.450306
company_IDX_CO_SIDO,-0.055702,-0.107384,6.450306
company_IDX_CO_NCKL,-0.055728,-0.107384,6.450306
company_IDX_CO_TLKM,-0.066604,-0.107384,6.450306
company_IDX_CO_PWON,-0.069305,-0.107384,6.450306
company_IDX_CO_ADHI,-0.069916,-0.107384,6.450306
company_IDX_CO_KLBF,-0.071055,-0.107384,6.450306
company_IDX_CO_MIKA,-0.079006,-0.107384,6.450306
company_IDX_CO_BBTN,-0.081137,-0.107384,6.450306
company_IDX_CO_UNVR,-0.090729,-0.107384,6.450306
company_IDX_CO_CTRA,-0.093268,-0.107384,6.450306
company_IDX_CO_SMRA,-0.095408,-0.107384,6.450306
company_IDX_CO_INDF,-0.111242,-0.107384,6.450306
company_IDX_CO_EXCL,-0.11126,-0.107384,6.450306
company_IDX_CO_ICBP,-0.122323,-0.107384,6.450306
company_IDX_CO_BMRI,-0.124013,-0.107384,6.450306
company_IDX_CO_CPIN,-0.132016,-0.107384,6.450306
company_IDX_CO_MNCN,-0.137614,-0.107384,6.450306
company_IDX_CO_ACES,-0.138697,-0.107384,6.450306
company_IDX_CO_PTPP,-0.140397,-0.107384,6.450306
company_IDX_CO_HEXA,-0.142836,-0.107384,6.450306
company_IDX_CO_SMGR,-0.166046,-0.107384,6.450306
company_IDX_CO_TOWR,-0.171843,-0.107384,6.450306
company_IDX_CO_BSDE,-0.176292,-0.107384,6.450306
company_IDX_CO_MYOR,-0.177172,-0.107384,6.450306
company_IDX_CO_ERAA,-0.190098,-0.107384,6.450306
company_IDX_CO_GOTO,-0.190808,-0.107384,6.450306
company_IDX_CO_AALI,-0.198581,-0.107384,6.450306
company_IDX_CO_ISAT,-0.198633,-0.107384,6.450306
company_IDX_CO_MAPI,-0.210857,-0.107384,6.450306
company_IDX_CO_BBNI,-0.226134,-0.107384,6.450306
company_IDX_CO_HMSP,-0.227993,-0.107384,6.450306
company_IDX_CO_GGRM,-0.239732,-0.107384,6.450306
company_IDX_CO_BBRI,-0.249962,-0.107384,6.450306
company_IDX_CO_INTP,-0.304134,-0.107384,6.450306
company_IDX_CO_BBCA,-0.350792,-0.107384,6.450306
