company,company_return,sector_return,benchmark_return
company_IDX_CO_MAPI,31.64,13.42,-19.38
company_IDX_CO_BRPT,27.34,-28.42,-19.38
company_IDX_CO_TINS,18.96,-28.42,-19.38
company_IDX_CO_GGRM,18.33,-1.18,-19.38
company_IDX_CO_INDF,9.5,-1.18,-19.38
company_IDX_CO_AMRT,3.45,-1.18,-19.38
company_IDX_CO_HEXA,2.87,-13.18,-19.38
company_IDX_CO_MYOR,2.34,-1.18,-19.38
company_IDX_CO_WIKA,0.0,-13.18,-19.38
company_IDX_CO_MNCN,-2.71,-20.75,-19.38
company_IDX_CO_AKRA,-5.0,-26.71,-19.38
company_IDX_CO_MTEL,-6.59,-20.75,-19.38
company_IDX_CO_BTPS,-6.63,-17.23,-19.38
company_IDX_CO_JSMR,-8.38,-13.18,-19.38
company_IDX_CO_BBTN,-9.12,-17.23,-19.38
company_IDX_CO_TBIG,-9.32,-20.75,-19.38
company_IDX_CO_ADRO,-10.6,-26.71,-19.38
company_IDX_CO_BBCA,-12.18,-17.23,-19.38
company_IDX_CO_MDKA,-12.21,-28.42,-19.38
company_IDX_CO_INCO,-14.02,-28.42,-19.38
company_IDX_CO_EXCL,-17.22,-20.75,-19.38
company_IDX_CO_ISAT,-17.63,-20.75,-19.38
company_IDX_CO_ANTM,-17.84,-28.42,-19.38
company_IDX_CO_SMRA,-18.63,-24.97,-19.38
